zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
53.67,69.64,98.68,98.92,26.12,83.16,Davangere,1,1,1,1,0,1,0.8333333333333334
7.71,0.39,89.42,68.77,9.73,41.34,Dharwad,0,0,1,1,0,0,0.3333333333333333
28.76,1.48,98.88,82.99,96.63,25.27,Gadag,0,0,1,1,1,0,0.5
22.72,10.47,98.27,86.13,49.14,85.52,Gulbarga,0,0,1,1,0,1,0.5
22.52,45.4,77.38,78.35,58.88,90.69,Hassan,0,0,1,1,1,1,0.6666666666666666
9.47,58.32,96.36,98.41,3.2,14.6,Haveri,0,1,1,1,0,0,0.5
66.17,88.91,94.47,90.93,58.64,85.28,Kodagu,1,1,1,1,1,1,1.0
59.91,84.35,97.63,98.38,54.92,74.53,Kolar,1,1,1,1,1,1,1.0
32.54,81.08,96.58,96.4,92.98,73.81,Koppal,0,1,1,1,1,1,0.8333333333333334
66.18,83.66,96.03,98.12,28.35,51.6,Mandya,1,1,1,1,0,1,0.8333333333333334
52.25,42.12,93.5,79.1,63.11,94.37,Mysore,1,0,1,1,1,1,0.8333333333333334
93.32,67.84,99.83,94.38,91.76,78.02,Raichur,1,1,1,1,1,1,1.0
35.82,63.97,87.56,88.8,0.82,52.94,Ramanagara,0,1,1,1,0,1,0.6666666666666666
55.33,95.59,99.12,98.58,91.12,67.68,Shimoga,1,1,1,1,1,1,1.0
22.33,51.81,93.99,97.54,31.47,57.37,Tumkur,0,1,1,1,0,1,0.6666666666666666
63.56,95.84,95.04,71.3,23.69,47.79,Udupi,1,1,1,1,0,0,0.6666666666666666
53.36,98.49,95.74,91.97,5.15,65.55,Uttar Kannad,1,1,1,1,0,1,0.8333333333333334
28.41,22.28,95.13,87.06,54.47,87.23,Yadgir,0,0,1,1,1,1,0.6666666666666666
98.41,99.03,98.72,92.51,31.26,78.07,Alappuzha,1,1,1,1,0,1,0.8333333333333334
95.07,98.08,98.75,88.73,45.41,59.15,Ernakulam,1,1,1,1,0,1,0.8333333333333334
93.52,97.3,99.18,93.89,78.42,83.31,Idukki,1,1,1,1,1,1,1.0
